energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.533,85.204,0.0,0.83,0.481,5.0,-7.589,0,0.504,0.694,0.576,234680.0,4.0,Mender
0.4,99.921,0.0,0.651,0.745,7.0,-14.693,0,0.0268,0.168,0.545,268760.0,3.0,Mender
0.493,81.012,0.0,0.815,0.539,2.0,-7.776,0,0.484,0.685,0.457,229133.0,4.0,Mender
0.524,90.862,2.28e-05,0.912,0.565,3.0,-12.296,0,0.171,0.297,0.408,41181.0,4.0,Mender
0.568,99.942,1.45e-05,0.414,0.775,10.0,-8.456,0,0.0644,0.113,0.478,221666.0,4.0,Mender
0.415,78.169,1.72e-05,0.457,0.527,4.0,-11.451,0,0.122,0.117,0.515,125093.0,4.0,Mender
0.471,78.127,0.0,0.693,0.743,0.0,-11.865,0,0.443,0.106,0.463,349767.0,4.0,Mender
0.459,75.912,0.0,0.742,0.549,9.0,-4.946,0,0.115,0.103,0.422,252922.0,5.0,Mender
0.404,81.041,0.0,0.476,0.555,5.0,-7.539,0,0.104,0.111,0.517,184615.0,5.0,Mender
0.458,93.561,0.945,0.89,0.664,9.0,-8.581,0,0.0285,0.115,0.571,169404.0,4.0,Mender
0.437,82.106,0.839,0.923,0.526,2.0,-8.084,0,0.0248,0.111,0.455,178368.0,4.0,Mender
0.508,77.583,0.0,0.439,0.498,2.0,-7.262,0,0.0351,0.501,0.376,166161.0,4.0,Mender
0.243,73.48,0.0,0.943,0.343,11.0,-15.404,0,0.0578,0.532,0.417,320173.0,4.0,Mender
0.45,76.975,5e-05,0.628,0.758,8.0,-11.488,0,0.429,0.11,0.427,240762.0,4.0,Mender
0.324,81.354,0.0,0.805,0.51,4.0,-14.062,0,0.276,0.118,0.47,228706.0,4.0,Mender
0.318,82.019,0.000114,0.575,0.669,10.0,-9.29,0,0.0448,0.133,0.366,168754.0,3.0,Mender
0.39,62.47,0.00025,0.848,0.602,4.0,-9.198,0,0.0408,0.114,0.484,163437.0,4.0,Mender
0.287,80.64,0.961,0.969,0.739,6.0,-14.007,0,0.059,0.111,0.557,188695.0,4.0,Mender
0.4,98.781,0.000334,0.717,0.666,9.0,-7.324,0,0.0328,0.342,0.395,285506.0,3.0,Mender
0.0821,87.379,0.937,0.99,0.636,9.0,-18.707,0,0.106,0.116,0.463,185351.0,4.0,Mender
0.162,82.33,0.829,0.933,0.487,11.0,-11.238,0,0.106,0.117,0.49,81000.0,4.0,Mender
