energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.826,117.056,2.81e-06,0.0055,0.705,0.87,Kinetik
0.892,132.685,0.000449,0.703,0.807,0.965,Kinetik
0.761,115.048,0.00115,0.806,0.699,0.706,Kinetik
0.891,120.668,3.63e-06,0.375,0.685,0.627,Kinetik
0.772,128.015,0.0,0.641,0.785,0.969,Kinetik
0.805,123.384,0.00441,0.0287,0.797,0.839,Kinetik
0.821,125.051,0.000403,0.0169,0.848,0.249,Kinetik
0.829,117.973,0.00423,0.16,0.75,0.631,Kinetik
0.82,125.038,0.0,0.44,0.76,0.712,Kinetik
0.909,126.021,0.104,0.0805,0.735,0.543,Kinetik
0.937,137.156,0.0,0.0319,0.78,0.935,Kinetik
0.751,132.999,4.38e-06,0.596,0.844,0.801,Kinetik
0.8,122.396,0.037,0.0332,0.706,0.725,Kinetik
0.755,138.518,0.00459,0.0547,0.753,0.949,Kinetik
0.809,134.053,1.62e-06,0.178,0.708,0.625,Kinetik
0.838,100.007,0.0,0.701,0.747,0.675,Kinetik
0.849,124.018,0.000108,0.0162,0.813,0.535,Kinetik
0.816,126.02,0.0,0.0319,0.736,0.466,Kinetik
0.858,125.791,0.0923,0.114,0.791,0.872,Kinetik
0.847,116.959,0.0,0.214,0.709,0.693,Kinetik
0.832,137.87,7.5e-05,0.14,0.676,0.83,Kinetik
0.776,132.098,0.0,0.184,0.766,0.576,Kinetik
0.758,127.951,0.0,0.194,0.697,0.382,Kinetik
0.874,114.445,6.15e-05,0.144,0.754,0.682,Kinetik
0.905,112.024,0.000887,0.182,0.804,0.713,Kinetik
0.861,100.33,0.0,0.701,0.662,0.814,Kinetik
0.78,127.946,0.0,0.479,0.738,0.901,Kinetik
0.785,123.029,0.0506,0.000139,0.706,0.893,Kinetik
0.767,100.392,0.0,0.271,0.697,0.843,Kinetik
0.765,134.151,0.0,0.35,0.776,0.432,Kinetik
0.911,112.163,0.0,0.119,0.76,0.785,Kinetik
0.782,125.012,0.000127,0.691,0.74,0.934,Kinetik
0.842,110.412,0.0,0.142,0.774,0.798,Kinetik
0.85,111.992,2.9e-05,0.065,0.675,0.772,Kinetik
0.896,130.093,2.99e-06,0.67,0.666,0.633,Kinetik
0.78,112.68,0.0334,0.0195,0.652,0.656,Kinetik
0.897,119.97,2.88e-05,0.00957,0.751,0.482,Kinetik
0.897,119.97,2.72e-05,0.00957,0.751,0.483,Kinetik
0.897,119.97,2.72e-05,0.00957,0.751,0.483,Kinetik
0.814,125.013,0.25,0.000653,0.653,0.955,Kinetik
0.998,105.044,0.00851,0.0987,0.661,0.254,Kinetik
0.806,112.03,0.102,0.0012,0.661,0.711,Kinetik
0.877,105.921,3.65e-05,0.068,0.725,0.0976,Kinetik
0.803,130.06,0.293,0.00342,0.706,0.783,Kinetik
0.751,135.036,0.0302,0.0506,0.696,0.663,Kinetik
0.867,125.005,0.125,0.048,0.721,0.917,Kinetik
0.968,122.987,0.000147,0.0118,0.767,0.738,Kinetik
0.9,109.916,5.96e-06,0.0045,0.788,0.606,Kinetik
0.87,121.012,0.0,0.00904,0.842,0.573,Kinetik
0.91,132.988,1.57e-06,0.0192,0.778,0.796,Kinetik
0.939,138.015,0.326,0.00113,0.72,0.663,Kinetik
0.782,135.056,0.397,0.000594,0.775,0.532,Kinetik
0.952,137.976,0.000121,0.0232,0.71,0.889,Kinetik
0.888,125.02,0.0369,0.0153,0.656,0.68,Kinetik
0.803,124.994,0.168,0.0405,0.705,0.204,Kinetik
0.923,129.99,0.486,0.00126,0.674,0.324,Kinetik
0.849,126.93,0.000485,0.00243,0.712,0.701,Kinetik
0.937,101.873,2.17e-06,0.0762,0.779,0.91,Kinetik
